server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
450,64,62,99,125,38,90,72
549,38,122,151,44,15,11,70
519,28,89,139,66,85,8,66
472,19,75,126,94,81,8,125
442,68,87,126,103,45,18,111
438,38,152,124,115,59,47,27
452,21,151,117,121,54,71,13
438,15,183,123,123,96,13,9
395,67,152,126,128,73,32,27
402,31,82,131,120,58,86,90
401,77,142,138,126,31,72,13
346,133,176,138,124,27,47,9
409,85,155,130,135,25,53,8
360,46,168,130,130,101,49,16
341,40,170,116,140,108,59,26
447,105,14,89,135,48,33,129
368,73,97,106,141,68,81,66
385,83,127,138,133,52,68,14
359,97,144,120,119,48,79,34
344,67,176,130,114,60,74,35
363,103,98,87,124,34,90,101
294,108,147,118,127,38,124,44
263,102,171,118,133,52,121,40
261,73,156,134,131,80,119,46
322,66,78,98,151,77,117,91
347,92,47,85,130,76,108,115
316,115,48,105,114,54,122,126
321,90,114,122,123,53,126,51
293,116,141,110,126,46,118,50
257,119,160,103,137,53,118,53
226,114,174,111,150,59,113,53
146,94,159,131,159,109,108,94
140,92,148,142,143,96,117,122
150,113,163,134,155,68,129,88
147,94,173,120,158,96,107,105
153,79,195,109,157,89,105,113
195,60,200,113,148,86,102,96
173,64,199,122,154,102,116,70
138,79,204,117,152,118,105,87
145,70,186,121,150,116,110,102
120,86,203,113,157,94,132,95
137,68,206,124,144,98,125,98
148,91,195,128,131,97,131,79
187,96,184,120,111,110,116,76
152,93,155,136,132,119,125,88
110,92,160,144,144,130,116,104
100,92,172,135,150,139,100,112
105,83,182,130,148,130,112,110
129,82,158,141,142,137,119,92
105,88,160,150,148,139,122,88
93,98,165,143,135,137,138,91
82,105,150,144,142,157,134,86
83,90,171,132,147,154,134,89
92,86,181,134,132,145,131,99
94,91,191,117,127,142,133,105
67,98,192,135,140,142,124,102
82,103,164,148,160,148,109,86
65,108,146,152,145,149,133,102
82,84,169,135,141,149,140,100
101,88,190,126,121,145,140,89
80,97,194,116,106,143,148,116
83,102,190,109,95,151,140,130
96,121,169,94,95,155,125,145
103,119,172,108,101,147,121,129
55,114,192,99,104,159,135,142
54,110,191,106,115,168,132,124
84,103,187,102,120,155,133,116
96,106,184,128,119,151,121,95
115,106,188,115,122,150,118,86
83,78,195,127,144,152,127,94
71,97,184,111,123,161,117,136
72,111,184,107,133,142,127,124
84,121,183,108,127,137,115,125
63,145,186,115,131,141,107,112
60,144,197,111,145,134,117,92
70,129,193,108,123,148,115,114
59,140,208,110,136,151,111,85
69,148,176,108,129,159,117,94
83,145,172,100,134,154,103,109
90,135,159,92,139,140,100,145
45,143,202,106,126,134,101,143
46,130,194,114,131,137,103,145
64,153,204,118,123,127,66,145
39,153,196,119,131,144,87,131
75,143,202,116,136,135,69,124
104,152,203,119,131,132,43,116
152,148,184,96,120,132,42,126
135,147,190,112,120,131,41,124
144,140,187,110,120,135,60,104
74,132,181,113,136,157,92,115
61,129,194,120,139,152,74,131
53,125,197,120,135,156,79,135
61,138,205,120,133,141,75,127
84,120,185,128,134,148,89,112
69,124,186,126,135,155,95,110
99,107,168,123,137,162,97,107
75,128,185,124,143,150,88,107
68,115,179,134,133,160,101,110
104,127,177,113,141,142,99,97
85,137,190,112,131,143,86,116
