server,bus1,bus2,bus3
464,129,243,164
509,178,164,149
534,182,154,130
546,182,146,126
550,174,174,102
556,169,184,91
556,153,178,113
551,145,189,115
544,147,166,143
529,154,203,114
538,146,201,115
537,143,204,116
542,151,188,119
529,149,192,130
523,145,196,136
534,146,200,120
521,147,189,143
521,147,219,113
521,158,206,115
501,155,218,126
525,150,200,125
509,153,200,138
494,148,209,149
515,149,199,137
506,155,201,138
519,149,195,137
513,155,201,131
538,157,182,123
525,157,191,127
525,151,192,132
517,151,193,139
504,148,201,147
505,154,197,144
515,153,182,150
528,149,184,139
536,151,174,139
533,162,172,133
543,146,168,143
550,150,174,126
532,152,181,135
546,150,183,121
556,138,176,130
513,140,199,148
520,146,202,132
536,150,201,113
535,152,195,118
534,152,196,118
537,146,201,116
518,147,207,128
524,154,199,123
525,156,197,122
522,155,203,120
493,162,214,131
516,158,209,117
511,158,206,125
532,146,200,122
530,136,200,134
513,134,211,142
531,141,196,132
521,141,203,135
521,155,204,120
531,144,198,127
524,147,200,129
508,152,211,129
530,169,179,122
535,140,196,129
529,136,207,128
537,153,183,127
532,131,205,132
551,122,190,137
546,131,201,122
546,137,192,125
528,148,196,128
518,153,199,130
530,157,191,122
524,158,207,111
529,156,207,108
512,148,216,124
520,144,204,132
523,146,196,135
534,144,207,115
533,134,216,117
529,143,219,109
526,151,202,121
532,145,220,103
534,153,206,107
520,152,226,102
528,153,195,124
516,145,244,95
536,125,192,147
519,149,207,125
522,151,214,113
528,151,217,104
518,152,219,111
522,156,203,119
513,146,203,138
518,141,228,113
517,146,210,127
528,130,208,134
516,133,233,118
